A2715        3.313  6.157 0.31     0.17 0.65     0.15 m 1.88  2.025 0.52     0.99 3.21  5.29 3.0 2 112 e
A2730        0.919  1.538 0.25          0.60          D 2.28  1.304 0.28     0.39 2.05  2.62 2.0 1  79 s
A21          3.016  5.552 0.28     0.05 0.60          d 1.90  1.968 0.50     0.84 2.92  4.29 1.0 1  56 e
A46          1.259  2.149 0.25          0.60          D 2.09  1.515 0.32     0.45 2.25  2.87 2.5 1  78 u
A74          0.250  0.402 0.03          0.60          r 0.16 13.600 0.08     0.01 1.46  0.21 0.0 0  49 s
A76          0.453  0.750 0.41          0.60          r 2.85  0.522 0.21     0.68 0.84  1.92 2.5 0  42 c
A77          1.566  2.716 0.15     0.05 0.60          d 1.00  3.293 0.32     0.21 2.51  1.86 1.0 1  50 s
A84          1.358  2.332 0.42     0.10 0.60          d 3.88  0.828 0.35     1.17 2.09  4.96 2.0 1  76 e
A85          7.907 15.783 0.26     0.06 0.62     0.05 m 1.17  3.720 0.78     1.14 3.91  5.18 1.0 1  59 p
A98N         0.922  1.543 0.29          0.60          r 2.75  1.080 0.28     0.50 2.01  3.04 0.0 0   0 c
A98S         0.775  1.283 0.32          0.60          r 3.20  0.893 0.26     0.54 1.87  3.13 0.0 0   0 c
A98SS        0.331  0.536 0.25          0.60          D 2.93  0.805 0.17     0.24 1.49  1.90 0.0 0   0 c
A115S        5.194 10.077 0.25          0.60          D 1.38  3.002 0.64     0.89 3.51  4.49 0.0 0   0 d
A115N        8.005 16.371 0.25          0.60          D 1.21  3.711 0.79     1.10 4.03  5.15 0.0 0   0 d
A117         0.317  0.513 0.25          0.60          r 2.99  0.787 0.17     0.23 1.48  1.89 0.0 0  40 s
A119         2.310  4.525 0.32     0.06 0.53     0.04 m 3.45  1.221 0.44     1.00 3.07  5.28 2.5 1  69 p
A133         2.925  5.017 0.19     0.04 0.60          d 0.96  3.331 0.46     0.43 2.36  2.22 0.0 0  47 s
A136         1.314  2.249 0.25          0.60          D 2.06  1.547 0.33     0.46 2.28  2.91 1.0 2  99 u
A150N        0.177  0.283 0.25          0.60          D 3.38  0.597 0.13     0.18 1.23  1.57 0.0 0   0 u
A150S        0.427  0.693 0.25          0.60          D 2.78  0.906 0.19     0.27 1.62  2.07 1.5 1  55 d
A2877        0.381  0.643 0.30     0.07 0.60          d 4.52  0.679 0.18     0.34 2.09  3.26 1.0 0  30 s
A154         0.742  1.227 0.17     0.13 0.55     0.15 m 1.68  1.690 0.24     0.19 1.82  1.52 2.0 1  66 s
A194         0.133  0.215 0.20     0.03 0.60          d 2.60  0.719 0.11     0.10 1.16  1.13 2.0 0  37 e
A195         0.142  0.229 0.25          0.60          D 3.54  0.537 0.11     0.16 1.15  1.47 2.0 0  32 s
